age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source
39,0,4,0,1.2,7,34.27,34.42,13,7,2,3,1,0,35,1,6,3,2,3.0,0.26,52.69,1130,3
19,1,3,2,1.0,7,16.36,65.07,8,9,7,11,0,0,29,1,8,1,3,4.0,0.25,73.52,618,2
41,0,6,0,1.0,6,16.89,74.7,6,6,6,24,2,0,5,0,9,1,1,3.0,0.21,100.0,24,3
47,1,3,0,2.1,10,13.69,70.42,9,4,2,18,0,0,14,1,4,5,2,4.0,0.14,51.37,37,1
55,1,6,2,2.1,7,10.02,41.47,7,5,4,16,0,0,34,0,5,2,0,3.0,0.84,68.99,306,1
19,0,6,0,1.2,6,13.24,27.44,16,2,4,19,1,0,44,0,4,2,1,4.0,0.65,70.46,1025,3
38,0,2,0,2.1,9,10.07,47.97,13,4,6,23,2,0,39,1,2,7,1,3.0,0.04,57.35,424,4
50,0,3,2,2.0,4,9.75,52.22,10,2,3,7,0,0,8,1,3,6,3,5.0,0.79,78.2,562,3
29,1,1,2,1.2,13,11.32,45.59,18,8,6,14,0,0,12,1,6,6,1,5.0,0.87,67.32,34,0
39,1,5,0,2.0,9,8.14,77.63,15,5,4,17,0,0,28,1,4,6,1,2.0,0.18,82.69,255,4
42,1,3,0,1.2,9,7.06,24.22,17,5,4,3,0,0,41,0,7,3,1,5.0,0.19,79.11,1021,3
44,0,6,0,1.2,7,16.42,32.61,14,9,6,19,0,0,2,2,5,2,3,3.6306638801191693,0.94,72.71,649,3
59,1,6,0,1.2,11,3.73,67.78,9,9,2,17,0,0,33,1,5,1,2,3.0,0.27,35.2,631,4
45,0,2,0,1.1,7,9.71,42.66,15,5,6,8,0,1,22,1,4,7,2,4.0,0.03,44.53,270,2
33,0,3,0,1.1,8,6.52,26.01,16,5,2,9,2,0,38,1,7,4,3,5.0,0.33,71.47,96,4
32,0,6,1,2.1,7,9.81,40.61,10,4,5,11,0,0,39,1,3,5,0,3.6306638801191693,0.58,57.15,986,1
20,2,3,0,1.0,18,27.97,96.2,18,4,4,4,1,0,43,0,4,4,1,4.0,0.88,55.54,657,2
54,0,3,0,2.1,9,13.45,29.45,18,10,7,16,0,0,22,0,3,4,4,5.0,0.72,68.26,535,2
24,1,3,2,2.0,8,14.39,31.3,12,4,5,5,0,0,18,1,8,2,3,4.0,0.25,39.1,82,3
38,0,6,2,1.2,11,10.65,52.53,7,9,5,20,0,0,36,1,9,3,3,5.0,0.57,54.6,420,2
26,0,1,0,1.1,5,7.11,33.97,15,6,8,6,0,0,22,1,4,3,1,2.0,0.37,95.65,453,4
56,0,6,0,1.2,3,28.53,71.31,12,4,5,14,0,0,2,0,8,5,2,5.0,0.43,71.31,847,3
35,1,6,0,1.2,8,28.76,41.49,13,6,6,5,1,0,26,1,5,1,2,3.6306638801191693,0.76,59.79,824,2
21,1,5,2,1.0,9,3.71,21.55,14,5,3,14,0,0,12,0,5,4,1,3.6306638801191693,0.6,83.57,332,4
42,1,3,1,1.1,5,14.16,73.75,14,3,5,6,0,0,29,1,7,3,0,4.0,0.44,57.69,196,1
31,1,3,2,1.1,10,31.83,58.74,13,7,3,11,1,0,42,0,3,1,6,3.6306638801191693,0.02,51.78,189,1
26,0,4,1,1.1,11,24.4,45.43,16,9,8,8,0,1,5,1,5,3,2,4.0,0.44,50.22,164,3
43,0,4,1,2.0,9,7.9,49.39,14,3,1,13,1,0,32,1,5,7,2,4.0,0.55,75.46,321,3
19,0,1,0,2.0,12,7.81,41.19,12,6,5,22,2,0,3,1,4,1,5,4.0,0.3,30.84,522,2
37,1,1,0,1.0,7,12.42,76.37,11,5,3,14,0,0,37,0,8,5,2,4.0,0.7,43.1,913,2
45,0,3,0,2.0,9,38.01,19.16,11,10,5,13,0,0,35,1,7,4,3,3.0,0.55,43.8,561,3
24,0,3,0,2.0,9,19.36,54.3,5,5,3,15,0,0,23,1,6,4,2,1.0,0.22,83.76,830,1
25,0,6,0,1.0,8,33.17,60.68,11,4,7,17,0,0,33,1,10,4,3,3.0,0.88,94.83,1090,2
52,0,3,0,1.0,7,6.79,46.89,14,4,6,18,1,1,23,1,5,1,2,4.0,0.88,59.4,975,1
31,0,3,0,2.0,8,10.34,47.9,12,2,5,17,0,0,5,1,6,2,0,4.0,0.43,56.48,59,4
34,0,3,1,1.1,6,17.51,41.8,12,4,5,15,0,0,36,0,9,2,6,3.6306638801191693,0.07,67.1,22,2
53,0,4,0,1.2,8,26.34,45.67,8,9,1,4,2,0,4,1,8,0,0,5.0,0.14,56.76,1098,1
57,1,2,2,1.1,5,23.81,42.71,12,4,5,24,1,1,44,1,8,4,3,4.0,0.72,75.24,153,4
21,1,3,0,1.2,11,17.66,50.51,14,5,8,6,1,0,7,1,7,4,2,3.6306638801191693,0.24,62.56,334,3
19,1,2,2,2.1,7,9.46,63.57,13,6,4,7,0,0,3,0,6,3,3,4.0,0.63,59.02,677,3
23,0,3,0,1.2,10,16.43,38.6,19,3,6,16,0,1,15,0,11,3,0,2.0,0.01,45.31,1006,2
59,0,1,0,1.2,10,12.44,5.0,11,9,2,24,0,0,1,1,7,4,1,4.0,0.63,59.45,56,2
21,1,3,0,1.2,11,18.83,10.35,15,6,5,21,0,0,14,0,3,1,0,5.0,0.01,59.85,444,3
46,1,3,2,1.0,15,12.59,19.44,15,5,4,11,0,1,39,1,9,1,1,3.0,0.2,71.08,865,2
35,0,4,0,2.1,8,10.98,52.47,13,4,3,22,0,0,22,1,9,3,3,2.0,0.95,39.56,197,3
43,2,3,2,1.2,11,5.39,55.93,12,5,2,11,0,0,42,0,1,4,4,4.0,0.94,55.7,608,3
51,1,3,0,1.2,3,5.83,93.11,14,3,9,12,0,0,26,1,2,3,4,2.0,0.36,66.11,1161,4
27,1,4,0,2.0,7,15.82,52.95,15,1,4,5,1,1,29,1,6,5,1,4.0,0.54,53.92,879,4
53,1,5,1,2.1,6,15.91,43.81,13,7,4,18,0,0,44,1,3,1,1,3.0,0.04,92.94,1023,4
31,0,3,0,2.0,9,21.07,65.98,12,3,6,15,1,0,4,1,4,2,3,5.0,0.49,45.9,634,0
48,0,0,0,2.0,9,25.4,38.07,17,6,7,14,1,0,9,0,6,1,3,3.0,0.3,84.71,776,4
32,0,5,1,2.0,5,16.15,34.77,14,5,7,18,0,0,19,1,8,2,3,5.0,0.69,76.78,1173,1
25,1,3,0,2.0,3,13.04,6.06,19,5,4,18,0,0,17,0,6,2,1,4.0,0.46,65.79,130,4
31,0,3,2,2.0,7,12.42,31.07,12,3,8,24,1,0,13,1,3,3,3,2.0,0.6,47.78,646,0
40,1,5,0,1.1,13,21.75,57.3,13,5,5,17,2,0,34,1,6,0,4,3.0,0.39,79.61,170,2
57,0,2,0,1.1,12,8.38,46.04,6,5,6,22,0,0,11,1,4,2,4,2.0,0.26,74.54,579,3
38,0,6,0,2.1,6,7.01,38.98,10,5,8,6,0,0,40,2,8,3,2,4.0,0.34,66.99,1195,3
33,0,6,0,2.1,6,9.42,53.25,11,2,3,22,0,0,12,1,7,4,2,5.0,0.93,64.52,1180,3
35,0,0,1,2.0,9,19.69,54.39,14,3,3,11,0,0,41,1,6,4,1,3.0,0.76,65.32,830,1
41,1,2,0,1.2,16,3.22,34.91,9,6,5,3,0,0,28,0,9,1,2,3.6306638801191693,0.52,75.9,1140,3
43,1,6,0,1.1,7,9.82,53.82,8,3,5,9,0,1,5,1,3,1,2,3.0,0.75,82.57,846,4
42,0,3,2,1.0,8,16.09,51.21,16,8,6,4,0,0,26,0,6,4,1,3.0,0.79,51.93,683,2
58,0,3,0,1.1,6,12.48,5.0,13,6,4,20,0,0,30,2,3,7,2,5.0,0.7,82.77,1048,2
46,1,2,0,1.1,5,7.57,24.11,12,3,5,7,1,0,14,0,11,3,3,3.0,0.08,81.31,444,3
32,1,0,0,2.1,3,32.47,51.59,6,9,3,5,0,2,26,2,7,2,2,4.0,0.82,68.16,1111,2
18,0,5,0,1.2,8,12.64,47.99,15,4,3,21,1,0,41,1,7,1,3,3.0,0.27,80.35,853,1
42,1,6,1,1.1,5,9.78,55.88,5,4,6,8,1,0,11,1,6,2,0,4.0,0.05,69.97,721,4
24,0,3,2,1.0,8,4.78,46.27,7,6,3,12,0,1,2,1,6,2,2,4.0,0.25,76.9,80,2
26,0,3,2,1.2,11,1.87,24.05,12,6,0,8,0,1,40,0,2,1,1,3.0,0.67,62.71,85,3
41,0,0,1,2.0,9,34.64,28.9,17,6,6,10,0,0,39,1,3,0,3,5.0,0.42,87.04,317,3
18,0,3,0,2.0,10,12.95,35.74,16,6,7,15,1,0,8,1,5,1,2,3.0,0.49,50.21,1021,4
25,0,6,1,1.1,7,15.71,57.07,9,5,2,5,0,1,1,1,5,3,2,3.0,0.64,74.99,180,3
41,1,6,1,1.1,13,14.05,16.52,15,5,2,18,0,0,38,1,2,4,0,3.0,0.21,59.01,1107,3
28,0,0,0,2.1,14,18.63,79.82,7,7,7,17,0,0,0,1,6,2,1,3.0,0.85,51.33,456,3
34,0,3,2,2.1,8,7.35,17.64,17,9,4,9,0,0,16,2,6,5,3,5.0,0.78,63.75,562,4
25,0,6,0,1.1,6,16.83,46.96,7,5,10,11,1,0,42,0,4,1,1,2.0,0.08,53.19,603,0
52,1,4,1,2.1,11,3.0,36.3,15,10,2,20,0,2,1,0,6,0,0,2.0,0.34,63.12,515,2
52,0,5,0,1.1,5,12.57,29.14,19,3,5,18,0,0,31,1,4,2,2,4.0,0.22,71.88,463,4
50,1,3,1,1.2,5,15.86,34.94,14,3,6,4,0,0,24,0,6,4,2,4.0,0.35,41.02,488,2
22,1,5,0,1.1,6,7.87,47.42,10,7,2,18,2,0,28,1,4,4,2,5.0,0.6,99.48,976,1
59,1,6,2,1.2,5,21.88,51.81,7,11,4,6,2,0,38,1,7,2,1,4.0,0.78,55.18,752,2
56,1,6,0,1.1,5,8.78,64.02,11,4,7,11,1,0,7,1,5,3,4,1.0,0.18,66.0,278,3
58,0,6,0,2.1,7,16.34,45.11,15,4,5,4,0,0,6,2,5,2,2,4.0,0.18,70.31,183,0
45,1,5,0,1.1,10,8.24,36.82,5,7,4,15,1,0,29,2,3,4,0,2.0,0.26,56.42,380,1
24,1,2,0,1.1,12,3.66,61.12,7,5,4,10,0,0,16,2,10,4,3,2.0,0.26,76.83,691,2
26,0,3,0,1.0,8,17.8,59.14,16,8,4,15,1,0,28,1,10,3,1,3.0,0.74,62.95,554,3
25,0,4,0,1.2,6,11.52,55.15,12,6,2,11,0,0,3,1,3,1,4,1.0,0.83,59.99,622,2
29,1,3,2,2.1,5,1.69,39.88,10,8,5,8,1,0,14,2,5,4,2,5.0,0.48,49.63,383,2
51,0,5,0,2.1,8,18.02,44.75,12,3,2,9,1,0,3,1,5,3,1,3.6306638801191693,0.21,65.07,48,2
50,1,3,2,1.2,10,3.06,55.31,18,6,7,7,1,0,41,2,5,1,3,4.0,0.11,63.82,530,3
40,1,1,0,2.0,4,7.79,71.49,11,4,4,15,1,0,17,0,5,1,3,4.0,0.65,91.07,673,2
41,1,3,0,2.1,12,11.66,49.1,12,9,4,4,0,0,19,1,9,2,3,3.0,0.55,74.46,730,0
54,0,3,0,1.0,15,27.41,45.09,19,7,4,3,2,0,24,1,8,3,2,3.0,0.27,44.05,1149,3
52,0,3,0,1.2,11,23.92,41.19,16,5,3,10,0,0,5,0,8,3,1,4.0,0.63,59.41,58,0
57,1,3,0,1.0,9,19.63,17.3,14,4,7,9,1,0,3,0,6,4,1,4.0,0.56,58.58,69,2
39,1,3,2,1.2,8,12.79,39.5,15,4,3,11,0,0,23,1,5,3,1,5.0,0.14,80.57,902,3
44,1,6,2,2.1,11,19.66,48.9,13,5,2,3,0,1,22,1,4,3,2,5.0,0.66,48.91,1187,2
52,0,3,1,2.1,9,6.93,16.57,12,5,3,20,2,0,29,0,4,2,0,4.0,0.21,47.51,713,4
18,0,3,0,1.2,4,18.27,71.99,11,5,3,21,0,0,14,2,4,4,1,5.0,0.77,36.27,469,4
52,0,3,2,1.2,10,21.89,37.09,6,3,6,19,0,0,30,2,9,2,2,1.0,0.91,64.58,246,1
54,0,3,0,2.1,10,22.74,87.9,8,6,7,9,1,0,36,1,4,3,2,4.0,0.35,78.88,454,2
31,1,3,0,1.1,9,14.01,46.05,10,9,4,12,0,0,32,2,10,2,0,5.0,0.04,83.1,366,3
20,1,3,0,2.1,4,7.99,49.97,14,5,3,22,0,0,19,0,5,11,0,5.0,0.97,54.16,345,2
18,1,2,2,2.1,13,16.98,56.5,15,4,4,4,0,1,7,0,4,0,5,1.0,0.6,40.89,381,3
22,1,1,1,1.0,12,19.56,47.18,11,7,6,9,0,0,32,1,13,2,6,4.0,0.97,49.93,445,1
43,2,2,2,2.0,10,9.61,19.82,13,3,3,19,0,0,6,1,6,2,1,4.0,0.09,94.76,449,1
31,0,2,0,1.0,6,6.4,18.11,13,4,3,10,1,0,18,2,5,3,4,1.0,0.39,81.58,841,1
56,0,3,2,2.1,4,33.64,27.57,14,5,1,23,0,0,42,0,4,7,5,5.0,0.77,70.69,623,2
44,1,3,2,1.1,11,27.82,27.14,13,8,5,13,0,0,12,1,8,2,4,1.0,0.81,77.19,134,2
26,1,1,0,2.1,3,24.57,31.07,8,7,2,17,0,1,18,1,4,2,5,4.0,0.24,34.77,54,4
32,1,2,1,2.0,15,11.55,53.32,12,3,1,11,0,0,17,2,5,2,1,4.0,0.27,69.44,378,1
32,1,1,0,1.0,12,6.69,26.41,12,6,1,16,0,0,42,0,5,5,2,3.0,0.48,60.89,910,3
43,1,6,0,1.2,12,21.95,53.86,14,3,0,8,0,2,32,1,6,1,0,5.0,0.58,95.73,732,1
59,0,6,1,2.1,5,22.31,53.69,7,7,2,20,0,1,43,1,7,3,4,5.0,0.49,71.17,756,3
30,0,6,0,2.0,8,16.37,5.0,11,6,3,7,1,1,28,0,5,5,2,5.0,0.21,61.69,160,3
49,1,6,0,1.0,9,7.71,81.14,15,6,7,13,2,0,6,0,6,3,5,3.6306638801191693,0.72,49.15,1141,4
56,1,3,2,2.1,6,59.19,57.55,8,7,6,24,0,1,3,0,1,2,2,4.0,0.39,66.21,1015,2
49,1,3,0,2.1,10,8.99,23.37,14,9,7,10,0,0,41,1,7,3,5,4.0,0.92,60.62,1064,2
21,1,3,2,1.0,7,24.49,52.19,10,9,1,10,1,0,27,2,7,6,0,4.0,0.77,76.28,257,3
47,0,6,2,1.1,6,6.21,36.34,13,4,4,3,0,0,41,0,7,3,1,4.0,0.5,50.23,657,1
54,0,3,0,2.0,9,4.81,28.63,12,2,3,14,0,2,22,1,12,2,1,3.6306638801191693,0.77,72.39,48,3
40,1,3,0,1.1,4,4.35,32.47,12,3,3,24,1,0,42,1,6,5,2,4.0,0.52,86.46,1098,1
56,1,4,0,1.1,16,11.18,5.87,10,9,2,3,0,0,25,1,6,2,2,5.0,0.07,63.59,589,2
32,1,1,0,1.1,8,6.19,41.3,16,3,4,6,0,0,9,0,7,3,2,3.0,0.51,74.3,511,1
46,0,3,2,1.1,8,35.16,54.47,13,5,3,5,0,0,24,1,6,1,2,3.6306638801191693,0.71,41.36,18,4
53,0,1,2,1.2,4,3.94,61.13,8,5,4,21,1,0,41,1,5,1,6,5.0,0.66,60.1,497,3
30,1,3,0,2.0,7,5.64,26.42,10,10,5,14,0,1,41,1,11,3,2,5.0,0.5,55.49,41,4
49,0,0,2,1.1,9,10.21,72.93,10,6,2,5,0,1,15,1,5,0,1,4.0,0.42,47.37,1031,1
24,1,1,0,1.2,4,1.8,68.85,14,3,5,18,2,0,3,1,3,2,0,5.0,0.26,75.16,65,2
39,0,6,0,2.0,10,7.12,62.57,11,5,4,16,1,0,36,1,7,3,2,4.0,0.41,42.69,716,1
45,1,5,0,2.1,4,17.15,33.22,6,8,6,8,0,0,40,0,3,2,1,3.0,0.32,55.33,480,1
19,1,2,0,1.1,13,2.46,35.91,14,1,3,4,0,0,21,1,2,1,1,4.0,0.19,42.31,128,4
59,1,6,0,1.0,13,17.14,76.03,17,1,4,9,0,0,27,1,5,4,5,5.0,0.02,69.34,891,1
23,1,3,2,2.0,5,21.82,61.58,19,4,3,15,0,0,17,2,9,2,4,4.0,0.78,53.98,1036,2
45,1,6,0,1.0,5,13.21,5.0,12,8,4,10,1,0,3,1,2,1,2,4.0,0.44,76.94,122,0
45,0,3,2,2.0,7,19.76,32.85,13,4,2,12,0,0,38,1,3,3,2,2.0,0.73,65.33,872,3
37,1,6,1,2.0,7,17.85,32.66,8,5,4,7,1,0,14,1,4,3,5,4.0,0.84,45.54,204,2
47,1,3,2,1.0,6,8.26,5.0,7,0,4,14,0,0,31,1,7,1,5,4.0,0.57,42.2,536,4
28,0,5,2,2.0,9,0.97,39.66,12,1,4,10,0,0,28,1,6,2,2,1.0,0.36,51.84,895,1
45,1,3,2,2.1,7,2.6,63.53,9,5,5,23,1,0,4,1,4,2,2,4.0,0.74,52.39,151,2
42,1,6,0,1.1,10,8.6,18.49,13,7,5,18,2,0,12,1,12,3,1,5.0,0.63,76.77,307,2
56,0,2,2,2.0,9,30.7,44.46,17,2,2,16,1,0,8,0,6,3,2,5.0,0.89,54.43,34,2
50,1,6,1,1.2,13,2.16,12.06,16,8,4,5,2,0,16,1,5,2,2,3.0,0.15,52.06,760,3
18,0,4,2,2.0,11,9.41,43.43,9,9,8,9,1,0,37,0,4,2,3,3.0,0.28,58.55,739,4
44,0,3,2,1.2,8,14.38,5.0,11,5,6,18,3,0,21,0,5,2,1,4.0,0.23,72.71,1178,2
30,0,0,0,2.0,8,17.54,41.23,19,5,5,14,1,0,31,2,4,3,4,5.0,0.91,67.8,426,2
58,1,3,2,2.0,9,16.82,51.09,11,8,4,16,0,0,3,0,3,1,1,4.0,0.93,72.77,535,1
20,0,1,2,2.1,5,5.84,44.11,11,5,3,18,0,0,15,0,7,1,1,3.6306638801191693,0.16,84.9,375,3
56,0,6,0,1.1,9,10.71,33.07,13,7,0,19,0,0,7,2,7,3,2,3.6306638801191693,0.38,67.8,1012,3
23,1,6,2,2.1,6,9.76,12.39,13,2,5,4,1,0,5,1,6,3,2,3.0,0.87,74.49,689,4
25,0,6,0,2.1,6,8.65,79.79,12,6,7,23,0,1,16,1,6,2,3,3.0,0.36,52.68,1184,4
44,0,3,1,1.1,9,12.38,39.76,7,4,3,5,0,0,39,1,3,6,1,5.0,0.43,83.47,686,4
26,0,3,0,1.1,9,17.03,19.84,6,4,4,11,1,1,12,0,8,4,2,4.0,0.51,72.01,1195,3
54,1,5,0,2.1,6,29.47,27.98,14,3,5,22,0,0,14,2,8,5,1,3.6306638801191693,0.3,64.83,443,3
50,1,3,2,1.1,9,5.95,31.05,10,6,5,6,0,0,29,2,3,1,5,5.0,0.73,72.97,310,4
59,1,5,0,1.0,11,10.05,23.03,6,3,3,9,0,0,23,1,9,9,2,4.0,0.41,65.19,157,3
41,1,3,0,1.0,5,6.57,65.74,7,4,1,16,0,0,43,1,4,8,1,4.0,0.0,51.75,932,3
32,1,3,0,1.1,10,0.78,63.34,15,3,3,14,1,1,1,1,8,2,2,2.0,0.61,53.7,566,0
49,0,1,2,1.2,3,15.67,5.21,15,5,3,12,2,0,1,1,5,1,2,4.0,0.21,71.41,1137,2
49,0,3,0,1.0,8,20.54,53.33,9,2,2,24,1,0,43,1,10,4,3,5.0,0.14,92.83,1054,2
41,0,5,0,1.0,15,5.12,22.05,10,7,5,19,0,0,37,2,5,1,3,4.0,0.02,43.3,715,1
58,1,6,0,1.1,5,6.76,46.85,17,6,4,4,0,0,42,1,6,2,4,4.0,0.76,49.24,1038,4
29,0,3,1,1.1,6,13.91,38.21,11,3,3,18,0,0,17,0,6,1,2,1.0,0.39,58.75,976,3
56,0,6,2,2.0,15,21.14,47.58,10,7,3,22,0,0,36,2,12,3,1,4.0,0.49,23.17,624,3
19,0,3,2,1.0,7,1.47,56.58,13,6,5,10,0,0,4,1,9,0,2,3.0,0.41,56.8,19,3
20,0,3,2,1.0,12,6.89,62.18,15,7,5,16,0,0,35,1,5,1,0,4.0,0.87,83.15,129,3
54,1,3,0,1.0,5,8.94,66.81,10,6,2,18,0,0,33,0,4,5,4,4.0,0.78,49.09,1044,0
34,0,6,2,1.1,10,22.7,46.55,8,5,7,4,1,0,19,1,7,3,4,3.0,0.37,84.43,460,3
19,1,4,0,1.2,8,29.1,21.08,15,4,6,3,0,0,10,1,10,3,0,3.0,0.97,55.92,1066,3
19,0,1,0,2.0,11,12.7,51.05,16,8,8,8,1,0,34,1,13,3,1,3.0,0.07,56.47,1039,4
45,0,3,0,2.1,10,4.67,29.54,14,8,2,18,0,0,13,0,1,5,0,5.0,0.99,70.87,336,0
40,1,3,2,1.0,8,10.3,58.88,12,2,2,4,0,0,21,0,6,7,2,4.0,0.29,56.43,846,3
54,0,5,2,2.1,6,14.44,15.0,15,10,2,12,2,0,3,1,6,4,2,5.0,0.01,60.13,856,1
49,1,3,0,1.2,4,7.97,37.02,7,4,2,18,0,0,44,1,6,5,0,4.0,0.04,78.56,227,0
50,0,6,2,2.1,3,12.96,58.12,22,5,4,21,1,1,23,1,8,4,1,3.6306638801191693,0.9,66.2,998,2
18,0,4,0,1.1,5,8.66,35.89,14,3,2,7,1,0,28,0,7,2,4,4.0,0.59,79.84,124,3
36,0,3,2,2.1,3,2.85,41.53,9,3,3,15,2,0,31,1,5,2,2,3.6306638801191693,0.54,29.89,149,3
19,1,2,1,1.1,5,18.32,34.52,16,4,4,12,0,0,40,1,4,2,3,4.0,0.85,44.09,920,2
43,1,3,2,2.1,6,26.64,63.85,12,5,2,10,0,0,41,1,8,3,2,3.0,0.12,69.65,134,3
49,2,3,2,1.1,11,9.14,53.16,10,11,6,15,0,0,0,2,12,3,2,4.0,0.56,60.47,52,0
23,1,3,2,1.0,10,11.35,36.27,8,5,5,24,1,0,37,1,2,1,0,2.0,0.87,63.68,43,4
49,0,6,0,1.0,8,6.83,55.94,16,8,11,14,0,0,4,1,7,1,4,4.0,0.57,77.59,808,2
21,0,0,0,1.1,10,9.23,38.73,10,3,5,6,1,0,32,0,4,4,3,5.0,0.88,69.08,954,2
28,0,3,0,2.1,9,9.05,35.89,13,4,3,16,0,0,3,1,3,5,1,4.0,0.26,51.38,109,3
34,0,3,0,1.0,4,19.86,43.86,17,2,2,16,0,0,13,1,7,4,3,4.0,0.49,40.64,254,0
55,1,6,1,1.2,14,5.33,77.06,8,7,4,3,0,1,16,2,9,4,4,4.0,0.14,35.11,1131,1
41,1,3,0,2.1,8,24.48,49.45,8,5,0,11,1,0,5,1,4,5,0,4.0,0.33,72.33,1080,3
22,0,3,2,1.1,7,30.38,24.89,17,3,2,22,0,0,34,0,6,2,1,2.0,0.99,63.7,312,3
51,0,3,2,1.2,8,19.65,24.29,13,5,5,14,0,0,5,2,7,2,4,4.0,0.44,47.86,912,2
23,0,3,2,1.1,9,8.59,66.46,10,7,3,13,0,0,32,1,13,2,1,4.0,0.95,59.64,464,4
39,1,6,0,1.1,11,11.4,9.29,9,3,8,15,0,0,19,1,4,3,1,3.0,0.05,53.58,597,4
28,2,3,1,2.0,6,17.01,70.05,13,4,1,10,0,0,44,1,5,1,2,5.0,0.91,65.29,1190,1
33,0,5,0,2.0,4,13.28,5.0,12,2,4,18,2,0,12,1,11,7,2,4.0,0.86,52.33,149,1
50,0,3,0,2.1,8,6.42,77.67,6,2,6,4,0,1,25,1,8,1,1,4.0,0.11,81.16,607,3
26,0,3,0,2.1,10,4.03,47.45,5,1,5,3,0,0,29,1,2,4,1,3.6306638801191693,0.15,48.16,796,1
23,0,3,0,1.0,9,18.41,33.51,16,1,3,7,2,1,43,1,4,2,1,2.0,0.63,64.72,747,3
33,0,6,2,2.0,8,13.2,66.79,16,10,3,10,0,0,11,2,4,4,3,5.0,0.76,77.99,850,0
46,0,2,0,1.0,9,9.38,28.43,14,5,4,15,0,1,36,1,6,3,2,4.0,0.53,61.54,166,4
20,1,5,0,2.1,6,2.93,44.87,18,8,9,10,0,0,5,1,6,3,1,2.0,0.0,76.02,1060,1
37,0,3,0,1.2,9,8.93,44.79,13,3,3,22,0,0,37,1,10,4,2,4.0,0.32,41.62,634,2
53,1,5,2,1.2,10,10.33,31.92,16,6,2,7,3,0,37,1,11,5,5,3.0,0.05,73.1,886,3
36,0,3,0,2.1,10,39.86,22.86,13,5,5,16,0,0,42,0,3,1,0,4.0,0.13,100.0,39,3
43,1,3,0,1.1,11,12.69,23.81,11,10,6,12,2,0,22,0,2,3,1,4.0,0.21,26.4,813,4
20,1,6,0,2.0,8,9.63,43.82,9,8,2,24,1,0,30,1,4,2,4,4.0,0.93,74.81,691,2
36,0,5,2,2.0,9,16.11,52.6,10,5,4,13,1,0,37,1,5,1,2,5.0,0.82,86.01,1164,3
37,1,6,0,1.1,8,8.25,28.45,8,10,2,8,0,0,34,0,5,3,1,1.0,0.93,43.15,526,3
49,0,6,0,1.1,4,5.46,63.14,17,5,6,9,1,0,29,1,7,7,1,4.0,0.99,68.05,244,3
24,0,5,0,1.0,8,4.54,39.88,19,5,6,18,0,0,15,1,3,4,1,5.0,0.23,57.86,124,1
58,1,4,0,1.1,10,8.81,45.35,10,4,5,11,0,0,10,1,4,3,3,3.0,0.01,76.14,907,3
50,0,2,0,2.0,6,4.89,34.47,9,6,5,10,0,0,29,0,4,2,2,3.6306638801191693,0.06,75.26,177,3
